Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP
925000,97-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015,1,18,L,Chabot,Thomas,D,OTT,1
2250000,93-12-21,Ottawa,ON,CAN,CAN,74,207,2012,1,15,R,Ceci,Cody,D,OTT,79
8000000,88-04-16,St. Paul,MN,USA,USA,72,218,2006,1,7,R,Okposo,Kyle,RW,BUF,65
3500000,92-01-07,Ottawa,ON,CAN,CAN,77,220,2010,1,3,R,Gudbranson,Erik,D,VAN,30
1750000,94-03-29,Toronto,ON,CAN,CAN,76,217,2012,1,16,R,Wilson,Tom,RW,WSH,82
1500000,79-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,L,Campbell,Brian,D,CHI,80
950000,90-11-21,Stockholm,,SWE,SWE,71,185,2009,2,53,L,Rodin,Anton,RW,VAN,3
842500,93-07-28,Toronto,ON,CAN,CAN,70,183,,,,R,Rodrigues,Evan,LW/C,BUF,30
1250000,92-06-14,Scarborough,ON,CAN,CAN,72,214,2010,2,42,R,Smith-Pelly,Devante,RW/C/LW,N.J,53
925000,93-04-27,Petawawa,ON,CAN,CAN,68,178,2011,7,201,L,Peca,Matthew,C,T.B,10
800000,86-07-27,Lively,ON,CAN,CAN,73,195,,,,L,Desjardins,Andrew,LW/C,CHI,46
600000,92-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010,3,89,L,Chaput,Michael,C,VAN,68
1000000,88-03-17,Brandon,MB,CAN,CAN,72,200,2006,3,66,R,White,Ryan,C,ARI/MIN,65
925000,96-06-20,Holland Landing,ON,CAN,CAN,73,186,2014,1,4,L,Bennett,Sam,C,CGY,81
950000,89-04-20,Red Deer,AB,CAN,CAN,72,195,2007,4,112,R,Sceviour,Colton,C/RW,FLA,80
680000,94-01-06,Edmonton,AB,CAN,CAN,74,187,2012,4,105,L,Kulak,Brett,D,CGY,21
590000,92-04-24,Oakville,ON,CAN,CAN,71,183,2011,7,209,L,Wilson,Scott,LW/C,PIT,78
650000,91-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,R,Beck,Taylor,LW,EDM/NYR,5
2250000,86-04-28,Ostrava,,CZE,CZE,74,235,2004,6,180,R,Polak,Roman,D,TOR,75
600000,90-10-08,Faribault,MN,USA,USA,76,210,2009,4,114,L,Helgeson,Seth,D,N.J,9
5000000,94-03-09,Vancouver,BC,CAN,CAN,73,215,2012,1,5,L,Rielly,Morgan,D,TOR,76
5250000,92-06-25,Wilcox,SK,CAN,CAN,70,188,2010,1,14,L,Schwartz,Jaden,LW/C,STL,78
925000,96-05-01,Calgary,AB,CAN,SWE,72,190,2014,1,8,R,Nylander,William,C/RW,TOR,81
1600000,90-11-29,Plzen,,CZE,CZE,79,220,,,,R,Sustr,Andrej,D,T.B,80
717500,96-11-26,Colorado Springs,CO,USA,USA,77,203,2015,2,37,R,Carlo,Brandon,D,BOS,82
925000,96-05-25,Havirov,,CZE,CZE,72,181,2014,1,25,R,Pastrnak,David,RW/LW,BOS,75
900000,98-03-14,St. Albert,AB,CAN,CAN,71,191,2016,1,10,L,Jost,Tyson,C/LW/RW,COL,6
3750000,88-05-28,Sherbrooke,QC,CAN,CAN,72,200,2007,1,26,R,Perron,David,LW/RW,STL,82
792500,94-03-23,Boden,,SWE,SWE,75,209,2012,3,81,R,Sundqvist,Oskar,C,PIT,10
600000,90-11-16,Merrimack,NH,USA,USA,74,219,,,,L,Schaller,Tim,C,BOS,59
6000000,91-08-22,Saskatoon,SK,CAN,CAN,73,195,2009,1,5,L,Schenn,Brayden,C/LW,PHI,79
5500000,92-03-20,South St.Paul,MN,USA,USA,72,215,2010,2,37,R,Faulk,Justin,D,CAR,75
724500,92-10-26,Toronto,ON,CAN,CAN,72,192,2011,3,65,L,Cramarossa,Joseph,C/LW,ANA/VAN,59
725000,91-11-01,Sherwood Park,AB,CAN,CAN,72,188,,,,L,Carr,Daniel,LW,MTL,33
4000000,90-06-05,Prague,,CZE,CZE,72,204,2010,3,66,R,Gudas,Radko,D,PHI,67
800000,90-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,132,L,Bourque,Gabriel,LW/RW,COL,6
4250000,90-06-01,Bern,,CHE,CHE,73,201,2008,2,38,L,Josi,Roman,D,NSH,72
742500,94-05-01,Denver,CO,USA,USA,74,205,2012,4,120,L,Slavin,Jaccob,D,CAR,82
750000,90-06-20,Sterling Heights,MI,USA,USA,75,221,2008,5,128,R,Pateryn,Greg,D,DAL/MTL,36
4500000,86-08-01,Tibro,,SWE,SWE,71,190,2005,7,216,R,Stralman,Anton,D,T.B,73
3000000,92-11-12,Skellefteë,,SWE,SWE,75,215,2011,1,4,R,Larsson,Adam,D,EDM,79
630000,90-05-27,Huntsville,AL,USA,USA,74,196,2009,7,198,R,Dowd,Nic,C,L.A,70
2200000,89-11-21,Roubaix,,FRA,FRA,72,200,,,,L,Roussel,Antoine,LW,DAL,60
650000,90-07-16,Albany,NY,USA,USA,75,221,,,,L,Lashoff,Brian,D,DET,5
1300000,89-04-27,Ottawa,ON,CAN,CAN,69,160,2007,6,179,L,Byron,Paul,LW/C/RW,MTL,81
925000,94-09-22,Stockholm,,SWE,SWE,74,196,2013,1,14,L,Wennberg,Alex,C,CBJ,80
700000,88-02-16,Munich,,DEU,DEU,75,215,2006,4,111,R,Holzer,Korbinian,D,ANA,32
1200000,92-02-18,Kosice,,SVK,SVK,76,210,2010,2,46,L,Marincin,Martin,D,TOR,25
925000,97-01-13,Yaroslavl,,RUS,RUS,73,201,2015,1,7,L,Provorov,Ivan,D,PHI,82
925000,97-06-23,Mt. Brydges,ON,CAN,CAN,76,220,2015,1,11,L,Crouse,Lawson,LW,ARI,72
6000000,88-09-10,Thunder Bay,ON,CAN,CAN,76,220,2006,1,2,L,Staal,Jordan,C/LW,CAR,75
950000,83-10-19,Unity,SK,CAN,CAN,72,200,2002,1,17,R,Gordon,Boyd,C/RW,PHI,13
2500000,94-12-02,Boden,,SWE,SWE,73,192,2013,1,5,R,Lindholm,Elias,C/RW,CAR,72
1050000,91-03-23,Pori,,FIN,FIN,72,193,2009,7,182,L,Haula,Erik,C/LW,MIN,72
792500,95-03-14,Molnlycke,,SWE,SWE,72,201,2013,6,180,L,Blidh,Anton,LW,BOS,19
600000,86-08-09,Bayport,NY,USA,USA,71,197,,,,R,Cannone,Patrick,C,MIN,3
4750000,85-10-12,Malm_,,SWE,SWE,75,210,2004,2,49,L,Soderberg,Carl,C/LW,COL,80
925000,93-02-10,Edmonton,AB,CAN,CAN,74,194,2011,4,92,L,Simpson,Dillon,D,EDM,3
6000000,90-09-20,Mississauga,ON,CAN,CAN,73,211,2009,1,1,L,Tavares,John,C,NYI,77
925000,98-03-02,Calgary,AB,CAN,CAN,73,180,2016,1,8,R,Nylander,Alex,RW/LW,BUF,4
767500,95-04-16,Cornwall,ON,CAN,CAN,73,210,2013,2,40,L,Elie,Remi,LW,DAL,18
3500000,89-06-05,Riverside,CT,USA,USA,68,182,2008,6,157,R,Atkinson,Cam,RW,CBJ,82
4500000,91-03-20,Eden Prairie,MN,USA,USA,72,199,2009,1,16,L,Leddy,Nick,D,NYI,81
750000,83-02-02,Churchill,MB,CAN,CAN,69,195,2001,4,98,R,Tootoo,Jordin,RW,CHI,50
3100000,87-05-02,Caroline,AB,CAN,CAN,70,170,2005,3,67,L,Russell,Kris,D,EDM,68
2350000,94-07-25,Regina,SK,CAN,CAN,72,183,2012,1,7,R,Dumba,Matt,D,MIN,76
750000,91-09-30,Bellmawr,NJ,USA,USA,78,232,,,,R,Robinson,Buddy,RW,OTT,4
700000,87-05-19,Madison,WI,USA,USA,73,216,2005,1,7,R,Skille,Jack,RW,VAN,55
6750000,83-10-03,Toronto,ON,CAN,CAN,72,198,,,,L,Giordano,Mark,D,CGY,81
600000,91-01-18,Oviedo,FL,USA,USA,72,195,,,,R,Carpenter,Ryan,C,S.J,11
650000,96-05-27,Saskatoon,SK,CAN,CAN,74,191,2014,4,101,R,Nogier,Nelson,D,WPG,10
2600000,91-07-27,Laval,QC,CAN,CAN,76,218,2009,1,30,L,Despres,Simon,D,ANA,1
667500,95-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,R,Labanc,Kevin,RW,S.J,55
925000,94-04-07,Richmond,BC,CAN,CAN,70,190,,,,R,Stecher,Troy,D,VAN,71
2100000,89-07-05,Meadow Lake,SK,CAN,CAN,76,229,2007,4,109,L,King,Dwight,LW/RW,L.A/MTL,80
7000000,87-12-09,Ann Arbor,MI,USA,USA,75,204,2006,2,45,R,Petry,Jeff,D,MTL,80
667500,94-02-07,Pittsburgh,PA,USA,USA,72,193,2012,6,167,R,Barber,Riley,RW,WSH,3
5000000,87-09-03,Whitby,ON,CAN,CAN,74,221,2005,2,33,L,Neal,James,RW/LW,NSH,70
3900000,87-07-26,Rochester Hills,MI,USA,USA,73,212,2007,4,95,L,Martinez,Alec,D,L.A,82
625000,92-07-25,Brandon,MB,CAN,CAN,72,202,2012,2,58,L,Martinook,Jordan,LW/C,ARI,77
2750000,90-12-01,Ilava,,SVK,SVK,70,185,2009,2,60,L,Tatar,Tomas,LW/C/RW,DET,82
3400000,92-05-19,Chelyabinsk,,RUS,RUS,74,192,2010,1,26,L,Kuznetsov,Evgeny,C/LW,WSH,82
842500,96-04-16,Edmonton,AB,CAN,CAN,73,195,2014,1,30,L,Quenneville,John,C,N.J,12
5500000,80-09-26,San Francisco,CA,USA,USA,75,219,2000,1,18,L,Orpik,Brooks,D,WSH,79
575000,91-12-15,Saint-Narcisse,QC,CAN,CAN,69,172,,,,L,Gourde,Yanni,C,T.B,20
5500000,87-02-25,Muskegon,MI,USA,USA,74,218,2005,2,42,L,Abdelkader,Justin,LW/RW,DET,64
925000,93-02-25,SAUGUS,MA,USA,USA,70,194,,,,R,Vecchione,Mike,C/RW,PHI,2
5750000,88-05-24,Yaroslavl,,RUS,RUS,76,198,2006,2,54,L,Anisimov,Artem,C/LW,CHI,64
715000,93-09-08,Lansing,MI,USA,USA,70,195,2011,4,99,L,Boucher,Reid,C/LW,N.J/NSH/VAN,39
925000,98-03-31,Boca Raton,FL,USA,USA,75,200,2016,1,16,L,Chychrun,Jakob,D,ARI,68
3250000,85-02-19,Port McNeill,BC,CAN,CAN,76,216,2004,3,79,L,Stoner,Clayton,D,ANA,14
925000,96-02-07,Windsor,ON,CAN,CAN,76,216,2014,1,1,R,Ekblad,Aaron,D,FLA,68
825000,91-10-07,Hinsdale,IL,USA,CAN,75,215,2011,6,160,R,Manson,Josh,D,ANA,82
3575000,89-03-17,Vasteras,,SWE,SWE,73,199,2007,1,24,L,Backlund,Mikael,C,CGY,81
600000,92-02-25,Orland Park,IL,USA,USA,68,165,2011,3,66,R,Tynan,T.J.,C/RW,CBJ,3
5850000,86-04-29,Anchorage,AK,USA,USA,74,218,2004,2,60,L,Dubinsky,Brandon,C/LW,CBJ,80
750000,92-03-09,Wheaton,IL,USA,USA,72,187,2011,7,204,L,Dzingel,Ryan,LW/RW/C,OTT,81
5000000,82-10-30,Trenton,MI,USA,USA,71,190,,,,L,Greene,Andy,D,N.J,66
660000,95-09-24,Winnipeg,MB,CAN,CAN,76,213,2014,3,73,R,Lernout,Brett,D,MTL,2
3000000,88-01-05,Drummondville,QC,CAN,CAN,70,188,2006,6,177,L,Perreault,Mathieu,C/LW,WPG,65
2500000,86-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,R,Dorsett,Derek,RW,VAN,14
800000,90-09-12,Burnaby,BC,CAN,CAN,77,202,2008,2,42,L,Wiercioch,Patrick,D,COL,57
925000,96-02-23,Madison,WI,USA,USA,72,177,2014,1,20,R,Schmaltz,Nick,C/LW,CHI,61
13800000,88-11-19,Buffalo,NY,USA,USA,71,177,2007,1,1,L,Kane,Patrick,RW/C,CHI,82
3500000,91-04-01,Toronto,ON,CAN,CAN,72,185,2009,3,69,L,Smith,Reilly,RW/C/LW,FLA,80
7000000,85-01-01,London,ON,CAN,CAN,75,217,2003,1,11,R,Carter,Jeff,C/RW,L.A,82
6000000,84-07-11,Plover,WI,USA,USA,71,190,2003,7,205,R,Pavelski,Joe,C/RW,S.J,81
925000,97-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,L,Tkachuk,Matthew,LW,CGY,76
727500,95-05-15,St. Petersburg,,RUS,RUS,73,224,2013,2,37,R,Zykov,Valentin,LW,CAR,2
2500000,83-02-04,West Seneca,NY,USA,USA,71,195,2003,5,148,R,Stempniak,Lee,RW,CAR,82
1000000,89-11-02,Saskatoon,SK,CAN,CAN,74,229,2008,1,5,R,Schenn,Luke,D,ARI,78
700000,89-07-25,Toronto,ON,CAN,CAN,76,225,2007,6,172,L,Gazdic,Luke,LW,N.J,11
2350000,88-12-01,Villach,,AUT,AUT,72,200,,,,L,Raffl,Michael,LW/C,PHI,52
2750000,90-11-13,New Westminster,BC,CAN,CAN,76,230,,,,L,Dillon,Brenden,D,S.J,81
925000,97-09-17,Scottsdale,AZ,USA,USA,75,216,2016,1,1,L,Matthews,Auston,C,TOR,82
7450000,89-12-08,London,ON,CAN,CAN,73,195,2008,1,2,R,Doughty,Drew,D,L.A,82
5400000,94-10-27,Turku,,FIN,FIN,76,203,2013,1,8,R,Ristolainen,Rasmus,D,BUF,79
750000,95-03-22,Delta,BC,CAN,CAN,69,179,2013,2,43,L,Petan,Nic,LW/C,WPG,54
575000,92-10-14,St. Louis,MO,USA,USA,76,224,2011,2,34,R,Mayfield,Scott,D,NYI,25
925000,96-05-10,Syracuse,NY,USA,USA,76,222,2014,1,18,R,Tuch,Alex,RW,MIN,6
925000,93-07-13,Chicago,IL,USA,USA,74,193,2011,4,98,L,Reilly,Mike,D,MIN,17
3000000,81-04-11,Pincourt,QC,CAN,CAN,73,197,,,,L,Burrows,Alex,LW/RW,OTT/VAN,75
650000,92-07-18,Wisconsin Rapids,WI,USA,USA,73,190,,,,R,Nelson,Casey,D,BUF,11
575000,90-07-03,Vasteras,,SWE,SWE,75,205,,,,L,Rasmussen,Dennis,C,CHI,68
725000,87-03-15,Moorhead,MN,USA,USA,74,190,2005,4,97,L,VandeVelde,Chris,C/LW,PHI,81
3000000,90-05-24,Borlange,,SWE,SWE,76,215,2009,4,102,L,Ekholm,Mattias,D,NSH,82
950000,90-06-04,Prince George,BC,CAN,CAN,73,205,,,,L,Manning,Brandon,D,PHI,65
3000000,86-10-12,Charlottetown,PE,CAN,CAN,76,212,2005,2,55,R,Mcquaid,Adam,D,BOS,77
1250000,90-07-02,Burnsville,MN,USA,USA,70,169,,,,R,Brown,J.T.,RW,T.B,64
575000,88-06-04,Pittsburgh,PA,USA,USA,73,196,2008,7,190,L,Bartkowski,Matt,D,CGY,24
600000,89-11-01,Paris,ON,CAN,CAN,74,199,2008,2,45,R,Dalpe,Zac,C,MIN,9
4000000,72-02-15,Kladno,,CZE,CZE,75,230,1990,1,5,L,Jagr,Jaromir,RW,FLA,82
575000,87-01-01,Taber,AB,CAN,CAN,72,205,2005,1,8,R,Setoguchi,Devin,RW,L.A,45
625000,93-05-21,Canton,MA,USA,USA,74,190,,,,L,Rooney,Kevin,C,N.J,4
735000,92-11-05,Long Beach,CA,USA,USA,71,190,2011,2,47,L,Nieto,Matt,LW/RW,COL/S.J,59
575000,90-08-16,Montrose,BC,CAN,CAN,69,176,,,,L,Jones,Connor,C/LW,NYI,4
640000,90-06-13,B_rum,,NOR,NOR,75,220,,,,L,Martinsen,Andreas,LW/C,COL/MTL,64
800000,92-11-16,Rochester,NY,USA,USA,71,185,2011,2,61,L,Prince,Shane,LW/C,NYI,50
925000,95-04-08,Northbrook,IL,USA,USA,72,193,2013,2,35,R,Compher,J.T.,LW/C,COL,21
4000000,83-04-01,Kalajoki,,FIN,FIN,71,198,2001,6,192,L,Jokinen,Jussi,LW/RW/C,FLA,69
5750000,92-10-27,Pittsburgh,PA,USA,USA,73,206,2011,2,43,L,Saad,Brandon,LW/RW,CBJ,82
892500,91-12-01,Johnston,RI,USA,USA,70,208,,,,R,Acciari,Noel,C,BOS,29
7250000,87-04-24,Montreal,QC,CAN,CAN,72,201,2005,3,62,R,Letang,Kris,D,PIT,41
3500000,80-02-10,Montreal,QC,CAN,CAN,72,179,1998,2,45,L,Ribeiro,Mike,C,NSH,46
575000,90-05-30,Marshfield,MA,USA,USA,69,170,2008,4,95,L,Warsofsky,David,D,PIT,7
10900000,87-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,L,Crosby,Sidney,C,PIT,75
667500,97-01-02,Sault Ste. Marie,ON,CAN,CAN,71,185,2015,3,67,R,Speers,Blake,C,N.J,3
832500,95-02-04,Hamilton,ON,CAN,CAN,76,220,2013,1,7,L,Nurse,Darnell,D,EDM,44
8000000,91-12-13,Yaroslavl,,RUS,RUS,72,219,2010,1,16,L,Tarasenko,Vladimir,RW,STL,82
692500,95-08-02,Zilina,,SVK,SVK,74,202,2013,3,90,L,Cehlarik,Peter,LW/RW,BOS,11
3500000,84-10-29,Thunder Bay,ON,CAN,CAN,76,208,2003,1,2,L,Staal,Eric,C,MIN,82
900000,92-04-20,Swan River,MB,CAN,CAN,74,208,2010,5,133,L,Ferland,Micheal,LW/RW,CGY,76
575000,89-01-21,North Andover,MA,USA,USA,70,190,,,,L,Farnham,Bobby,RW,MTL,3
600000,91-05-17,Pickering,ON,CAN,CAN,73,210,2011,3,80,L,Andreoff,Andy,LW/C,L.A,36
705000,94-01-07,Ottawa,ON,CAN,CAN,72,212,2013,7,206,R,Weegar,Mackenzie,D,FLA,3
900000,96-10-31,Stockholm,,SWE,SWE,73,184,2015,2,45,R,Forsbacka Karlsson,Jakob,C,BOS,1
8000000,84-06-16,Brampton,ON,CAN,CAN,76,212,2002,1,1,L,Nash,Rick,RW/LW,NYR,67
4000000,90-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,3,69,R,Stone,Michael,D,ARI/CGY,64
575000,90-05-18,Roseau,MN,USA,USA,70,184,2008,2,40,L,Ness,Aaron,D,WSH,2
1850000,90-07-18,Lycksele,,SWE,SWE,72,180,,,,R,Karlsson,Melker,C/RW,S.J,67
2500000,87-05-07,Edmonton,AB,CAN,CAN,72,190,,,,L,Schlemko,David,D,S.J,62
740000,95-08-04,Ottawa,ON,CAN,CAN,73,206,2013,3,69,R,Baptiste,Nicholas,RW,BUF,14
800000,91-03-17,Omsk,,RUS,RUS,75,200,,,,L,Kalinin,Sergey,C/RW,N.J,43
667500,96-03-13,Calgary,AB,CAN,CAN,70,166,2014,3,79,R,Point,Brayden,C,T.B,68
4000000,86-09-29,Alfred,ON,CAN,CAN,75,204,2005,1,4,L,Pouliot,Benoit,LW,EDM,67
700000,91-07-17,Wakaw,SK,CAN,CAN,72,189,2009,4,96,R,Vey,Linden,RW/C,CGY,4
7000000,90-05-31,Landsbro,,SWE,SWE,72,191,2008,1,15,R,Karlsson,Erik,D,OTT,77
5000000,91-06-03,Jyv_skyl_,,FIN,FIN,70,183,2009,4,106,R,Vatanen,Sami,D,ANA,71
9000000,87-10-02,Madison,WI,USA,USA,72,202,2006,1,5,R,Kessel,Phil,RW/C,PIT,82
925000,95-12-30,Moscow,,RUS,RUS,74,190,2014,1,26,L,Scherbak,Nikita,RW,MTL,3
4000000,93-03-01,Leksand,,SWE,SWE,74,200,2011,2,42,L,Rask,Victor,C,CAR,82
600000,95-04-10,Herning,,DNK,DNK,72,175,2013,3,89,R,Bjorkstrand,Oliver,RW,CBJ,26
725000,85-03-06,Le Blanc-Mesnil,,FRA,FRA,72,198,,,,L,Bellemare,Pierre-Edouard,LW/C,PHI,82
925000,95-04-20,New Haven,CT,USA,USA,73,214,2013,2,33,L,Erne,Adam,LW,T.B,26
792500,94-03-14,East Longmeadow,MA,USA,USA,69,201,,,,L,Vatrano,Frank,C/LW,BOS,44
832500,94-01-09,Vitkov,,CZE,CZE,75,210,2012,1,13,L,Faksa,Radek,C,DAL,80
2950000,87-01-23,Narva,,EST,FIN,71,210,2006,6,180,L,Komarov,Leo,C/LW,TOR,82
4250000,93-06-17,Maykop,,RUS,RUS,71,178,2011,2,58,L,Kucherov,Nikita,RW,T.B,74
875000,94-11-09,Salem,MA,USA,USA,76,203,2013,2,61,L,Sanford,Zach,LW,STL/WSH,39
625000,93-01-04,Wallaceburg,ON,CAN,CAN,69,191,2012,5,131,R,Griffith,Seth,C/RW,FLA/TOR,24
575000,95-02-03,Moscow,,RUS,RUS,68,170,,,,L,Tolchinsky,Sergey,LW,CAR,2
625000,88-09-24,Ann Arbor,MI,USA,USA,71,192,2007,4,93,R,Kampfer,Steven,D,FLA/NYR,11
4000000,86-06-14,Ilderton,ON,CAN,CAN,70,185,,,,R,Read,Matt,RW/LW,PHI,63
2500000,91-10-15,Warroad,MN,USA,USA,75,206,2010,1,30,L,Nelson,Brock,C/LW,NYI,81
675000,89-04-28,Grand Rapids,MI,USA,USA,71,199,,,,R,Glendening,Luke,C/RW/LW,DET,74
900000,92-02-08,Stockholm,,SWE,SWE,75,215,2010,2,41,L,Nemeth,Patrik,D,DAL,40
1050000,91-04-24,Sundsvall,,SWE,SWE,72,184,2009,2,40,L,Lander,Anton,C/LW/RW,EDM,22
1100000,92-01-30,Ottawa,ON,CAN,CAN,70,184,2010,2,45,L,Spooner,Ryan,C/LW,BOS,78
925000,96-08-17,New Westminster,BC,CAN,CAN,73,229,2014,1,6,R,Virtanen,Jake,RW,VAN,10
650000,92-05-01,De Pere,WI,USA,USA,71,188,2011,6,171,L,McCormick,Max,RW/LW/C,OTT,7
3850000,91-05-24,Winnipeg,MB,CAN,CAN,72,190,2009,3,85,L,Eakin,Cody,C,DAL,60
9000000,84-07-28,Minneapolis,MN,USA,USA,71,196,2003,1,17,L,Parise,Zach,LW,MIN,69
925000,97-02-25,Burnsville,MN,USA,USA,73,191,2015,1,23,R,Boeser,Brock,RW,VAN,9
700000,90-12-04,Vaughan,ON,CAN,CAN,70,193,2009,5,147,L,Varone,Phil,C,OTT,7
742500,93-03-26,Helsinki,,FIN,FIN,74,195,,,,L,Hannikainen,Markus,LW,CBJ,10
925000,94-11-30,Eisenstadt,,AUT,SVK,71,212,2013,1,27,L,Dano,Marko,C/LW/RW,WPG,38
4250000,89-09-01,Halmstad,,SWE,SWE,71,184,2008,4,121,L,Nyquist,Gustav,RW/C/LW,DET,76
667500,94-08-08,Prague,,CZE,CZE,71,176,2015,5,137,L,Simon,Dominik,C,PIT,2
8000000,84-05-01,Minneapolis,MN,USA,USA,75,221,2003,2,62,R,Backes,David,RW/C,BOS,74
635000,93-02-26,Toronto,ON,CAN,CAN,74,215,,,,L,Goodrow,Barclay,RW/C,S.J,3
3650000,89-10-06,Edmonton,AB,CAN,CAN,69,175,2008,1,26,L,Ennis,Tyler,LW/C/RW,BUF,51
3750000,92-12-07,Phoenix,AZ,USA,CAN,75,211,2011,1,8,L,Couturier,Sean,C,PHI,66
6075000,82-02-14,Trencin,,SVK,SVK,73,205,2000,1,3,L,Gaborik,Marian,RW,L.A,56
