Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP
817500,97-04-15,Chicago,IL,USA,USA,74,214,2015,2,32,R,Fischer,Christian,RW,ARI,7
575000,88-09-23,Morges,,CHE,CHE,71,200,2007,3,73,R,Weber,Yannick,D,NSH,73
575000,89-05-10,Grand Prairie,AB,CAN,CAN,74,200,,,,R,Rowney,Carter,RW/C,PIT,27
2500000,81-03-24,Bolton,CT,USA,USA,75,210,2000,1,13,L,Hainsey,Ron,D,CAR/PIT,72
800000,90-03-23,Montreal,QC,CAN,CAN,73,207,2008,6,152,L,Barberio,Mark,D,COL/MTL,60
925000,94-04-11,Brantford,ON,CAN,CAN,72,192,2014,2,55,R,Montour,Brandon,D,ANA,27
3900000,84-08-14,Kelowna,BC,CAN,CAN,73,204,,,,L,Gorges,Josh,D,BUF,66
575000,85-02-08,Ottawa,ON,CAN,CAN,73,195,,,,L,Smith,Trevor,C/RW,NSH,1
7500000,85-04-10,Edmonton,AB,CAN,CAN,75,219,2003,1,9,L,Phaneuf,Dion,D,OTT,81
575000,87-09-01,Toronto,ON,CAN,CAN,71,180,,,,L,Zolnierczyk,Harry,LW,NSH,24
4000000,79-01-12,Starˆ Lubovna,,SVK,SVK,73,207,1997,1,12,L,Hossa,Marian,RW,CHI,73
5600000,83-09-27,Edmonton,AB,CAN,CAN,76,221,2002,1,3,L,Bouwmeester,Jay,D,STL,81
925000,98-06-25,Nizhnekamsk,,RUS,RUS,75,215,2016,1,9,L,Sergachev,Mikhail,D,MTL,4
3200000,82-12-23,Jindrichuv Hradec,,CZE,CZE,74,210,,,,R,Michalek,Zbynek,D,ARI,3
650000,86-05-07,Elk River,MN,USA,USA,74,201,,,,R,Prosser,Nate,D,MIN,39
2100000,88-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,L,Bonino,Nick,C,PIT,80
4500000,90-10-29,Lipetsk,,RUS,RUS,73,204,2009,1,14,L,Kulikov,Dmitry,D,BUF,47
3250000,81-10-04,Cobourg,ON,CAN,CAN,73,188,2000,1,28,R,Williams,Justin,RW,WSH,80
1100000,83-03-02,Kingston,ON,CAN,CAN,73,205,2001,2,57,L,McClement,Jay,C,CAR,65
575000,89-12-14,Burlington,ON,CAN,CAN,68,180,,,,L,Conacher,Cory,C/LW,T.B,11
2750000,88-08-05,Winnipeg,MB,CAN,CAN,74,206,2008,4,111,R,Weise,Dale,RW,PHI,64
775000,91-02-22,LaSalle,QC,CAN,CAN,73,216,2009,3,84,L,Deslauriers,Nicolas,LW,BUF,42
715000,94-07-18,Markham,ON,CAN,CAN,72,200,2012,6,162,L,Blandisi,Joseph,LW/C,N.J,27
875000,93-05-31,Pori,,FIN,FIN,75,205,2011,1,16,R,Armia,Joel,RW,WPG,57
2200000,89-12-24,Brandon,MB,CAN,CAN,71,188,2008,5,127,L,Calvert,Matt,LW,CBJ,65
1000000,92-12-05,Strathroy,ON,CAN,CAN,74,205,2011,1,17,L,Beaulieu,Nathan,D,MTL,74
1300000,91-01-14,Toronto,ON,CAN,CAN,74,200,2009,1,15,L,Holland,Peter,C,ARI/TOR,48
1100000,87-07-26,Victoria,BC,CAN,CAN,74,200,,,,L,Benn,Jordie,D,DAL/MTL,71
4875000,90-08-16,St. Malo,MB,CAN,CAN,74,205,2008,2,53,R,Hamonic,Travis,D,NYI,49
925000,95-07-28,Milwaukee,WI,USA,USA,74,209,2013,4,118,R,Fasching,Hudson,RW,BUF,10
3200000,92-02-26,Oulu,,FIN,FIN,70,184,2010,1,9,L,Granlund,Mikael,C,MIN,81
925000,93-04-20,Brockville,ON,CAN,CAN,74,207,2012,5,147,L,Hutton,Ben,D,VAN,71
2600000,84-01-19,Vienna,,AUT,AUT,74,214,2003,1,5,R,Vanek,Thomas,LW/RW,DET/FLA,68
2300000,89-02-21,Ann Arbor,MI,USA,USA,73,219,2007,1,18,L,Cole,Ian,D,PIT,81
900000,80-08-03,Thornhill,ON,CAN,CAN,72,192,2000,3,95,L,Moore,Dominic,C/LW,BOS,82
925000,91-10-29,Moscow,,RUS,RUS,74,195,,,,R,Zaitsev,Nikita,D,TOR,82
1250000,85-08-12,Kitchener,ON,CAN,CAN,74,216,2003,4,132,L,Quincey,Kyle,D,CBJ/N.J,73
675000,88-07-11,Winston-Salem,NC,USA,USA,71,198,2008,6,169,R,Smith,Ben,RW/C,COL/TOR,40
635000,93-01-16,Brampton,ON,CAN,CAN,75,205,2012,4,96,L,Thomson,Ben,LW,N.J,3
632500,92-08-18,New Hartford,NY,USA,USA,74,205,,,,L,Zalewski,Michael,LW/C,VAN,1
575000,92-03-25,Zagreb,,HRV,HRV,74,200,,,,R,Rendulic,Borna,RW/C,VAN,1
575000,86-02-04,Chesterfield,MI,USA,USA,72,190,,,,R,Oleksy,Steve,D,PIT,11
792500,94-06-06,Oulu,,FIN,FIN,73,186,2015,7,189,L,Nutivaara,Markus,D,CBJ,66
4300000,88-08-26,Scarborough,ON,CAN,CAN,74,185,2007,2,61,R,Simmonds,Wayne,RW/LW,PHI,82
2000000,80-11-25,Indianapolis,IN,USA,USA,70,185,2000,5,159,L,Liles,John-Michael,D,BOS,36
832500,94-01-16,Estevan,SK,CAN,CAN,72,208,2012,1,8,L,Pouliot,Derrick,D,PIT,11
4000000,81-06-16,Grimsby,ON,CAN,CAN,73,200,2001,5,151,R,Bieksa,Kevin,D,ANA,81
8750000,85-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,R,Bergeron,Patrice,C,BOS,79
5500000,88-06-09,Dorval,QC,CAN,CAN,73,200,2008,7,186,R,Demers,Jason,D,FLA,81
1125000,87-01-20,Winnipeg,MB,CAN,CAN,73,225,2005,5,156,R,Reaves,Ryan,RW,STL,80
1050000,89-03-18,Thunder Bay,ON,CAN,CAN,76,221,2007,3,78,R,Bortuzzo,Robert,D,STL,38
700000,92-11-24,Stockholm,,SWE,SWE,73,200,2011,5,126,L,Claesson,Fredrik,D,OTT,33
5250000,90-07-15,Massena,NY,USA,USA,75,228,2008,1,3,R,Bogosian,Zach,D,BUF,56
5000000,95-09-01,Halifax,NS,CAN,CAN,72,205,2013,1,1,R,MacKinnon,Nathan,C/RW,COL,82
625000,91-05-27,Walpole,MA,USA,USA,72,195,2010,5,122,R,Wagner,Chris,C/RW,ANA,43
4500000,80-06-04,Sorel,QC,CAN,CAN,73,208,1998,3,75,L,Beauchemin,Francois,D,COL,81
950000,88-04-14,Saskatoon,SK,CAN,CAN,76,225,2006,3,68,R,Gryba,Eric,D,EDM,40
1100000,92-11-11,Ottawa,ON,CAN,CAN,70,180,2011,4,96,R,Pageau,Jean-Gabriel,C,OTT,82
595000,93-05-01,Bromont,QC,CAN,CAN,72,179,,,,R,Gaudreau,Frederick,C,NSH,9
4500000,85-08-17,Vancouver,BC,CAN,CAN,75,215,2004,7,214,R,Brouwer,Troy,RW,CGY,74
1250000,83-03-24,Hull,QC,CAN,CAN,72,200,2001,9,264,R,Parenteau,PA,RW,N.J/NSH,67
692500,95-07-01,Buffalo,NY,USA,USA,75,214,2013,2,52,R,Bailey,Justin,RW,BUF,32
925000,94-08-16,Toronto,ON,CAN,CAN,75,210,2012,3,65,L,Pelech,Adam,D,NYI,44
4838000,90-06-07,Chatham,ON,CAN,CAN,73,182,2008,4,114,L,Brodie,T.J.,D,CGY,82
750000,90-12-27,Cap-Rouge,QC,CAN,CAN,69,174,,,,R,Marchessault,Jonathan,C,FLA,75
5200000,89-12-16,Brondby,,DNK,DNK,72,210,2008,1,8,L,Boedker,Mikkel,LW/RW,S.J,81
600000,93-02-12,Plano,TX,USA,USA,73,205,2011,1,21,R,Noesen,Stefan,RW,ANA/N.J,44
925000,94-07-08,Ann Arbor,MI,USA,USA,73,206,2013,4,104,L,Copp,Andrew,C,WPG,64
4750000,87-01-01,Sollentuna,,SWE,SWE,71,189,2005,7,230,R,Hornqvist,Patric,RW,PIT,70
650000,94-01-14,Toronto,ON,CAN,CAN,72,185,2012,6,156,R,Brown,Connor,RW,TOR,82
4500000,90-02-06,Brantford,ON,CAN,CAN,72,195,2008,3,82,L,Henrique,Adam,C,N.J,82
800000,94-02-02,Fergus,ON,CAN,CAN,72,185,2012,2,47,L,McGinn,Brock,LW,CAR,57
925000,92-10-24,Eden Prairie,MN,USA,USA,68,178,2011,3,91,L,Rau,Kyle,C,FLA,24
1000000,91-12-02,Nassjo,,SWE,SWE,72,190,2010,6,157,R,Fast,Jesper,RW/LW,NYR,68
2000000,84-12-18,Hingham,MA,USA,USA,78,244,2003,1,26,L,Boyle,Brian,C/LW,T.B/TOR,75
925000,94-02-27,Pointe-Claire,QC,CAN,CAN,74,192,2012,1,23,L,Matheson,Michael,D,FLA,81
600000,92-07-25,Campbellville,ON,CAN,CAN,72,186,,,,L,Sgarbossa,Michael,C,ANA/FLA,38
832500,95-02-02,Salmon Arm,BC,CAN,CAN,72,209,2013,1,17,R,Lazar,Curtis,C/RW,CGY/OTT,37
575000,89-02-16,Toronto,ON,CAN,CAN,70,203,,,,L,Liambas,Mike,LW,NSH,1
3500000,90-10-22,St. Hyacinthe,QC,CAN,CAN,74,227,2009,4,94,R,Savard,David,D,CBJ,74
1750000,90-11-19,Winnetka,IL,USA,USA,75,210,2009,1,21,L,Moore,John,D,N.J,63
875000,93-02-24,Victoriaville,QC,CAN,CAN,73,193,2011,1,26,L,Danault,Phillip,LW/C,MTL,82
1000000,93-03-23,Omsk,,RUS,CZE,74,196,2011,2,41,L,Jaskin,Dmitrij,RW/LW,STL,51
575000,90-10-06,Ville Degelis,QC,CAN,CAN,70,190,2009,5,139,R,Dumont,Gabriel,C,T.B,39
5750000,86-12-06,Virginia,MN,USA,USA,73,200,2005,1,28,R,Niskanen,Matt,D,WSH,78
1250000,92-01-11,Sherwood Park,AB,CAN,CAN,73,200,2010,1,23,R,Pysyk,Mark,D,FLA,82
700000,91-10-29,Skellefteë,,SWE,SWE,73,202,2010,2,57,L,Lindberg,Oscar,C,NYR,65
925000,94-08-30,Yekaterinburg,,RUS,RUS,79,265,2014,3,66,L,Tryamkin,Nikita,D,VAN,66
13800000,88-04-29,Winnipeg,MB,CAN,CAN,74,201,2006,1,3,L,Toews,Jonathan,C,CHI,72
8000000,85-12-12,Maple Ridge,BC,CAN,CAN,75,200,2004,1,4,L,Ladd,Andrew,LW,NYI,78
1000000,92-02-03,Oklahoma City,OK,USA,USA,75,205,2010,2,38,L,Merrill,Jon,D,N.J,51
925000,97-05-05,Markham,ON,CAN,CAN,72,170,2015,1,4,R,Marner,Mitchell,C/RW,TOR,77
600000,93-03-26,Toronto,ON,CAN,CAN,72,205,2011,5,150,R,Corrado,Frank,D,PIT/TOR,4
832500,95-04-16,Moscow,,RUS,RUS,77,230,2013,1,16,L,Zadorov,Nikita,D,COL,56
2750000,84-12-13,Kitchener,ON,CAN,CAN,73,206,2003,2,37,R,Klein,Kevin,D,NYR,60
4250000,86-07-14,Magnitogorsk,,RUS,RUS,73,225,2006,2,44,L,Kulemin,Nikolay,LW/RW,NYI,72
3100000,94-02-12,Milwaukee,WI,USA,USA,73,210,2012,1,3,L,Galchenyuk,Alex,C/LW,MTL,61
575000,87-11-29,Victoria,BC,CAN,CAN,73,207,,,,L,Irwin,Matt,D,NSH,74
2250000,82-08-25,Strasbourg,SK,CAN,CAN,73,203,2000,2,33,L,Schultz,Nick,D,PHI,28
575000,92-09-01,Pardubice,,CZE,CZE,75,210,,,,L,Nosek,Tomas,LW/C,DET,11
600000,94-08-07,Melville,SK,CAN,CAN,74,205,2012,2,60,R,Severson,Damon,D,N.J,80
625000,84-09-30,Wethersfield,CT,USA,USA,74,219,2003,2,51,R,McDonald,Colin,RW/C,PHI,3
4000000,88-06-07,Windsor,ON,CAN,CAN,72,203,2006,4,112,L,Beleskey,Matt,LW,BOS,49
2400000,86-02-18,Meadow Lake,SK,CAN,CAN,73,202,2004,2,47,R,Comeau,Blake,LW/RW,COL,77
867500,93-10-09,Toronto,ON,CAN,CAN,72,200,2012,2,38,L,Di Giuseppe,Phillip,LW,CAR,36
1300000,85-01-30,Greenfield Park,QC,CAN,CAN,71,190,2004,4,126,R,Mitchell,Torrey,C/RW,MTL,78
575000,92-02-05,Bern,,CHE,CHE,71,192,2013,7,186,L,Vermin,Joel,RW,T.B,18
832500,95-03-28,Calgary,AB,CAN,CAN,72,195,2013,1,13,L,Morrissey,Josh,D,WPG,82
7000000,87-11-23,G_vle,,SWE,SWE,73,213,2006,1,4,L,Backstrom,Nicklas,C,WSH,82
700000,94-05-07,Burlington,ON,CAN,CAN,75,221,2012,4,95,R,Anderson,Josh,RW,CBJ,78
850000,93-04-16,Oulu,,FIN,FIN,72,183,2011,2,45,L,Granlund,Markus,C,VAN,69
925000,96-04-27,Guildford,,GBR,GBR,75,211,2014,1,12,L,Perlini,Brendan,LW,ARI,57
722500,91-11-23,Kennebunkport,ME,USA,USA,74,208,,,,R,Hathaway,Garnet,RW,CGY,26
4250000,89-05-08,Rodovre,,DNK,DNK,74,207,2007,1,13,L,Eller,Lars,C/LW/RW,WSH,81
925000,95-04-17,Cherepovets,,RUS,RUS,74,193,2013,3,75,L,Buchnevich,Pavel,RW/LW,NYR,41
1850000,81-06-17,Blaine,MN,USA,USA,72,209,2000,5,131,L,Hendricks,Matt,LW/C,EDM,42
5000000,87-09-22,Hull,QC,CAN,CAN,73,204,2006,1,6,L,Brassard,Derick,C,OTT,81
925000,95-10-27,Cologne,,DEU,DEU,73,216,2014,1,3,L,Draisaitl,Leon,C,EDM,82
615000,94-03-24,Cambridge,ON,CAN,CAN,75,210,2012,6,161,R,Dotchin,Jake,D,T.B,35
4000000,93-07-12,Karlstad,,SWE,SWE,73,193,2011,1,10,L,Brodin,Jonas,D,MIN,68
715000,93-07-29,Bayonne,,FRA,FRA,73,208,2011,2,48,L,Ouellet,Xavier,D,DET,66
1600000,85-09-08,St. John's,NL,CAN,CAN,74,195,,,,R,Purcell,Teddy,LW/RW,L.A,12
874125,93-09-07,Edmonton,AB,CAN,CAN,75,210,2011,1,11,L,Siemens,Duncan,D,COL,3
5000000,88-05-11,Halifax,NS,CAN,CAN,69,181,2006,3,71,L,Marchand,Brad,LW/C,BOS,80
1000000,81-06-13,Mlada Boleslav,,CZE,CZE,73,194,1999,7,212,R,Vrbata,Radim,RW,ARI,81
1000000,93-01-08,Marsta,,SWE,SWE,73,189,2011,2,53,L,Karlsson,William,C,CBJ,81
600000,90-02-01,Fort Lauderdale,FL,USA,USA,73,195,,,,R,Megna,Jayson,C,VAN,58
2250000,91-08-10,Buffalo,NY,USA,CAN,75,228,2009,4,104,L,Foligno,Marcus,LW,BUF,80
950000,86-05-13,Lethbridge,AB,CAN,CAN,71,176,2004,5,134,R,Versteeg,Kris,RW/LW,CGY,69
1200000,83-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,2,50,R,Thorburn,Chris,RW/LW,WPG,64
950000,88-07-26,Lynnfield,MA,USA,USA,73,183,,,,R,Flynn,Brian,C/RW,MTL,51
5000000,88-02-17,Kladno,,CZE,CZE,73,194,2006,1,10,L,Frolik,Michael,RW/C,CGY,82
6500000,84-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,1,24,L,Steen,Alex,LW/C,STL,76
900000,93-06-28,Brandon,MB,CAN,CAN,76,220,2011,2,46,L,Edmundson,Joel,D,STL,69
12000000,85-08-14,Sicamous,BC,CAN,CAN,76,232,2003,2,49,R,Weber,Shea,D,MTL,78
925000,96-10-29,Nousiainen,,FIN,FIN,76,211,2015,1,10,L,Rantanen,Mikko,RW,COL,75
925000,97-01-29,Karlstad,,SWE,SWE,74,197,2015,1,20,L,Eriksson Ek,Joel,C/RW/LW,MIN,15
874125,91-12-31,Toronto,ON,CAN,CAN,72,180,,,,L,Tanev,Brandon,LW/C/RW,WPG,51
5000000,84-03-20,Vantaa,,FIN,FIN,72,196,2002,3,95,L,Filppula,Valtteri,C/LW,PHI/T.B,79
1500000,86-01-17,Gothenburg,,SWE,SWE,75,209,2006,6,161,L,Stalberg,Viktor,LW/RW,CAR/OTT,75
2725000,87-07-02,Trebic,,CZE,CZE,70,197,2005,4,106,L,Sobotka,Vladimir,LW/C,STL,1
670000,94-04-16,Toronto,ON,CAN,CAN,70,190,2012,4,104,L,Smith,Gemel,C,DAL,17
875000,91-07-16,St. Cloud,MN,USA,USA,73,194,,,,L,Schmidt,Nate,D,WSH,60
3250000,79-01-18,Rochester,NY,USA,USA,67,178,1998,3,82,R,Gionta,Brian,RW,BUF,82
925000,96-01-22,Toronto,ON,CAN,CAN,72,173,2014,1,28,R,Ho-Sang,Joshua,RW/C,NYI,21
2000000,92-01-16,Newport Beach,CA,USA,USA,71,187,2010,2,59,L,Zucker,Jason,LW/RW,MIN,79
625000,86-03-30,Guelph,ON,CAN,CAN,71,205,,,,L,Haley,Micheal,C,S.J,58
925000,95-12-03,Jyv_skyl_,,FIN,FIN,71,195,2014,1,14,R,Honka,Julius,D,DAL,16
3500000,87-11-18,Welland,ON,CAN,CAN,71,218,2006,3,72,R,Clutterbuck,Cal,RW,NYI,66
925000,94-05-25,Edmonton,AB,CAN,CAN,73,195,2012,6,175,R,Benning,Matthew,D,EDM,62
1650000,87-05-15,St. Albert,AB,CAN,CAN,76,214,,,,L,Holden,Nick,D,NYR,80
640000,93-04-08,Skellefteë,,SWE,SWE,69,180,2014,4,112,R,Arvidsson,Viktor,LW/RW,NSH,80
925000,95-05-20,Arvika,,SWE,SWE,75,214,2013,2,34,L,De la Rose,Jacob,LW,MTL,9
1900000,92-11-22,Zhukovskiy,,RUS,RUS,71,180,2011,1,27,L,Namestnikov,Vladislav,C/LW,T.B,74
925000,96-01-22,Mississauga,ON,CAN,CAN,70,195,2014,1,21,L,Fabbri,Robby,C/LW,STL,51
4000000,91-03-28,Frydek-Mistek,,CZE,CZE,72,188,2011,7,208,L,Palat,Ondrej,LW,T.B,75
6500000,85-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,R,Callahan,Ryan,RW,T.B,18
700000,91-04-12,Norrkoping,,SWE,SWE,75,203,2009,1,10,L,Paajarvi,Magnus,LW,STL,32
925000,97-03-11,London,ON,CAN,CAN,70,175,2015,1,24,R,Konecny,Travis,C/LW,PHI,70
925000,93-05-26,Boston,MA,USA,USA,75,207,2012,3,66,L,Vesey,Jimmy,LW,NYR,80
1025000,89-12-07,Esbjerg,,DNK,DNK,73,185,2008,5,149,R,Larsen,Philip,D,VAN,26
925000,96-02-14,Aalborg,,DNK,DNK,72,172,2014,1,9,L,Ehlers,Nikolaj,LW,WPG,82
925000,94-03-26,Lakeville,MN,USA,USA,75,211,2012,1,28,L,Skjei,Brady,D,NYR,80
1750000,85-10-16,Calgary,AB,CAN,CAN,75,215,,,,R,Beagle,Jay,C/RW,WSH,81
6000000,91-11-14,Calgary,AB,CAN,CAN,73,201,2010,1,1,L,Hall,Taylor,LW/C,N.J,72
2500000,93-10-06,Nizhnekamsk,,RUS,RUS,71,195,2012,1,1,L,Yakupov,Nail,RW/LW,STL,40
667500,94-04-03,Chicago,IL,USA,USA,69,173,2012,6,169,R,Hinostroza,Vinnie,LW/C,CHI,49
3700000,85-02-27,Shaunavon,SK,CAN,CAN,77,223,2003,1,8,L,Coburn,Braydon,D,T.B,80
650000,92-05-29,Bloomfield Hills,MI,USA,USA,73,210,,,,R,Brown,Patrick,C,CAR,14
925000,97-01-30,Boston,MA,USA,USA,72,183,2015,1,21,R,White,Colin,C/D,OTT,2
832500,95-07-12,Lac-Beauport,QC,CAN,CAN,78,202,2013,1,11,L,Morin,Samuel,D,PHI,1
667500,92-06-08,Winchester,MA,USA,USA,68,175,,,,L,Sheary,Conor,LW,PIT,61
832500,94-03-25,Sudbury,ON,CAN,CAN,74,217,2012,1,26,L,Gaunce,Brendan,C/LW,VAN,57
7000000,80-09-26,Ornskoldsvik,,SWE,SWE,73,190,1999,1,2,L,Sedin,Daniel,LW,VAN,82
925000,98-04-19,Tampere,,FIN,FIN,77,206,2016,1,2,R,Laine,Patrik,RW,WPG,73
925000,97-04-06,Brno,,CZE,CZE,75,210,2015,1,6,L,Zacha,Pavel,C,N.J,70
3750000,93-07-11,Pittsburgh,PA,USA,USA,70,182,2011,3,64,R,Trocheck,Vincent,C/RW,FLA,82
6000000,83-03-20,Kitchener,ON,CAN,CAN,72,202,2002,8,241,R,Wideman,Dennis,D,CGY,57
750000,93-03-31,Aurora,ON,CAN,CAN,71,185,2011,1,12,R,Murphy,Ryan,D,CAR,27
7000000,90-01-18,King City,ON,CAN,CAN,75,205,2008,1,4,R,Pietrangelo,Alex,D,STL,80
640000,96-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,R,Carrier,Alex,D,NSH,2
3000000,88-08-05,Fergus,ON,CAN,CAN,73,205,2006,2,36,L,McGinn,Jamie,LW/RW,ARI,72
925000,94-10-23,Farevejle,,DNK,DNK,73,182,2013,2,45,R,Sorensen,Nick,RW,ANA,5
925000,97-05-26,Coquitlam,BC,CAN,CAN,72,182,2015,1,16,R,Barzal,Mathew,C,NYI,2
3000000,90-10-13,G_vle,,SWE,SWE,74,196,2009,2,39,R,Silfverberg,Jakob,RW/LW,ANA,79
3750000,92-05-13,Winnipeg,MB,CAN,CAN,75,206,2010,6,178,R,Stone,Mark,RW,OTT,71
9500000,86-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,1,2,L,Malkin,Evgeni,C/RW,PIT,62
1250000,92-02-25,Stockholm,,SWE,SWE,73,189,2010,3,90,L,Nordstrom,Joakim,LW/C,CAR,82
925000,97-06-08,Sorel-Tracy,QC,CAN,CAN,71,170,2015,1,28,L,Beauvillier,Anthony,C/LW,NYI,66
842500,93-09-23,Stockholm,,SWE,SWE,71,196,2012,2,37,R,Aberg,Pontus,LW,NSH,15
4000000,89-09-05,Madison,WI,USA,USA,73,208,2009,4,98,R,Smith,Craig,RW/LW/C,NSH,78
2700000,84-04-27,Rochester,MN,USA,USA,74,215,2003,1,21,L,Stuart,Mark,D,WPG,42
5000000,87-01-13,Indianapolis,IN,USA,USA,73,226,2005,1,3,L,Johnson,Jack,D,CBJ,82
575000,93-03-09,Raahe,,FIN,FIN,71,203,2011,2,52,L,Salomaki,Miikka,RW,NSH,5
600000,90-09-21,St. Paul,MN,USA,USA,72,196,2009,5,150,R,Jensen,Nick,D,DET,49
3700000,89-10-02,Bowmanville,ON,CAN,CAN,73,210,2008,1,9,L,Bailey,Josh,RW/LW/C,NYI,82
6500000,79-09-15,Aneroid,SK,CAN,CAN,74,215,1997,1,2,L,Marleau,Patrick,LW/C,S.J,82
575000,83-10-09,Rochester,NY,USA,USA,67,175,,,,R,Gionta,Stephen,RW/C,NYI,26
680000,93-04-16,Burnsville,MN,USA,USA,77,210,2011,4,101,L,Labate,Joseph,C,VAN,13
600000,92-09-26,Denver,CO,USA,USA,73,201,2011,3,82,R,Shore,Nick,C,L.A,70
9000000,85-01-21,Madison,WI,USA,USA,74,206,2003,1,7,L,Suter,Ryan,D,MIN,82
4250000,87-03-30,Montreal,QC,CAN,CAN,73,205,2005,2,35,L,Vlasic,Marc-Edouard,D,S.J,75
7000000,82-10-31,Kladno,,CZE,CZE,71,196,2001,3,71,L,Plekanec,Tomas,C,MTL,78
925000,93-05-12,St. Albert,AB,CAN,CAN,78,226,2012,3,86,R,Parayko,Colton,D,STL,81
